src,trg
write a python program to add two numbers,"num1  =  1 . 5
num2  =  6 . 3
sum  =  num1  +  num2
print ( f'Sum :   { sum } ' ) "
write a python function to add two user provided numbers and return the sum,"def add _ two _ numbers ( num1 ,  num2 )  : 
    sum  =  num1  +  num2
    return sum"
Write a python function to merge two given lists into one,"def merge _ lists ( l1 ,  l2 )  : 
    return l1  +  l2"
Write a python function that prints the factors of a given number,"def print _ factors ( x )  : 
   print ( f""The factors of  { x }  are : "" ) 
   for i in range ( 1 ,  x  +  1 )  : 
       if x  %  i  =  =  0 : 
           print ( i ) "
"Write a python function to print whether a number is negative, positive or zero","def check _ pnz ( num )  : 
    if num  >  0 : 
       print ( ""Positive number"" ) 
    elif num  =  =  0 : 
       print ( ""Zero"" ) 
    else : 
       print ( ""Negative number"" ) "
Write a program to print the multiplication table of a given number,"num  =  9
for i in range ( 1 ,  11 )  : 
   print ( f"" { num }  x  { i }   =   { num * i } "" ) "
Write a program to filter the numbers in a list which are divisible by a given number,"my _ list  =   [ 11 ,  45 ,  74 ,  89 ,  132 ,  239 ,  721 ,  21 ] 
num  =  3
result  =  list ( filter ( lambda x :   ( x  %  num  =  =  0 )  ,  my _ list )  ) 
print ( f""Numbers divisible by  { num }  are  { result } "" ) "
Write a python function that returns the sum of n natural numbers,"def sum _ natural ( num )  : 
    if num  <  0 : 
       print ( ""Please enter a positive number ! "" ) 
    else : 
       sum  =  0
       while ( num  >  0 )  : 
           sum  +  =  num
           num  -  =  1
       return num"
Write a program to swap first and last elements in a list,"my _ list  =   [ 1 ,  2 ,  3 ,  4 ,  5 ,  6 ] 
my _ list [ 0 ]  ,  my _ list [  - 1 ]   =  my _ list [  - 1 ]  ,  my _ list [ 0 ] "
"Write a python function to find the area of a circle, whose radius is given","def findArea ( r )  :  
    PI  =  3 . 142
    return PI  *   ( r * r ) "
Write a program to print the sum of squares of first n natural numbers,"n  =  21
sum _ n  =  0
for i in range ( 1 ,  n + 1 )  : 
    sum _ n  +  =  i *  * 2
print ( sum _ n ) "
Write a program to print the length of a list,"my _ list  =   [ 1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 ,  9 ] 
print ( len ( my _ list )  ) "
Write a pythno function to print the length of a given tuple,"my _ tuple  =   ( 1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 ) 
print ( len ( my _ tuple )  ) "
"Write a python function to print the elements of a given list, one element in a line","def custom _ print ( l )  : 
    for  _  in l : 
        print (  _  ) "
Write a python function to remove all the odd numbers from a list and return the remaining list,"def remove _ odd ( my _ list )  : 
    result  =  list ( filter ( lambda x :   ( x  %  2  =  =  0 )  ,  my _ list )  ) 
    return result"
Write a python function to remove all the even numbers from a list and return the remaining list,"def remove _ even ( my _ list )  : 
    result  =  list ( filter ( lambda x :   ( x  %  2  !  =  0 )  ,  my _ list )  ) 
    return result"
Write a function that takes two lists as input and returns a zipped list of corresponding elements,"def zip _ list ( list1 ,  list2 )  : 
    return list ( zip ( list1 ,  list2 )  ) "
Write a program to to print the contents of a given file,"file _ name  =  'temp . txt'
with open ( file _ name ,  'r' )  as f : 
    print ( f . read (  )  ) "
Write a functin that returns the LCM of two input numbers,"def lcm ( a ,  b )  : 
    if a > b : 
        min _   =  a
    else : 
        min _   =  b
    while True : 
        if min _  % a =  = 0 and min _  % b =  = 0 : 
            break
        min _  +  = 1
    return min _ "
Write a program to print the unique elements in a list,"my _ list  =   [ 1 ,  2 ,  4 ,  5 ,  2 ,  3 ,  1 ,  5 ,  4 ,  7 ,  8 ,  2 ,  4 ,  5 ,  2 ,  7 ,  3 ] 
print ( set ( my _ list )  ) "
Write a function that returns the sum of digits of a given number,"def digisum ( num )  : 
    sum _  = 0
    while num  >  0 : 
        dig  =  num  %  10
        sum _  +  = dig
        num /  /  = 10
    return sum _ "
"Write a function that prints a given value, n number of times","def print _ n ( val ,  n )  : 
    for  _  in range ( n )  : 
        print ( val ) "
Write a function to find the area of sqaure,"def square _ area ( a )  : 
    return a * a"
Write a function to find the perimeter of a square,"def square _ perimeter ( a )  : 
    return 4 * a"
Write a function to find the area of rectangle,"def rectangle _ area ( l ,  b )  : 
    return l * b"
Write a function to find the permieter of a rectangle,"def rectangle _ perimeter ( l ,  b )  : 
    return 2 *  ( l + b ) "
"Write a python function to find the area of a circle, whose radius is given","def findArea ( r )  :  
    PI  =  3 . 142
    return PI  *   ( r * r ) "
Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.,"def calc _ elect _ bill ( units )  : 
    if units  >  0 : 
        if units  <  =  750 : 
            return 5 * units
        else : 
            return 5 *  ( 750 )   +  7 *  ( units - 750 ) 
    else : 
        return  - 1"
"Write a function to return day of a week, given the number","def give _ day ( n )  : 
    day _ dict  =   { 1 :  'Sunday' ,  2 :  'Monday' ,  3 :  'Tuesday' ,  4 :  'Wednesday' ,  5 :  'Thursday' ,  6 :  'Friday' ,  7 :  'Saturday' } 
    return day _ dict [ n ] "
Write a program to calculate and print the volume of a cylender,"r  =  3
h  =  5
pi  =  3 . 14
volume  =  pi *  ( r *  * 2 )  * h
print ( volume ) "
Write a function to calculate and return the average of input numbers,"def calc _ avg (  * args )  : 
    if len ( args )   >  0 : 
        return sum ( args )  / len ( args ) 
    return None"
"Write a function to calculate compound interest, given p, r, t","def comp _ int ( p ,  r ,  t )  : 
    amount  =  p  *   ( 1  +   ( r / 100 )  )  *  * t
    interest  =  amount  -  p
    return interest"
"Write a function to calculate simple interest, given p, r, t","def simp _ int ( p ,  r ,  t )  : 
    interest  =   ( p * r * t )  / 100
    return interest"
"Write a program to print a given string, replacing all the vowels with '_'","st  =  ""Where is this going ?  Could you please help me understand ! ""
vowels  =  ""AEIOUaeiou""
for v in vowels : 
    st  =  st . replace ( v ,  ' _ ' ) 
print ( st ) "
Write a functio to check whether a number if perfect or not,"def is _ perfect ( n )  : 
    sum _   =  0
    for i in range ( 1 ,  n /  / 2  +  1 )  : 
        if n % i  =  =  0 : 
            sum _  +  = i
    if sum _   =  =  n : 
        return True
    return False"
"Write a program to find and print the area of a triangle, whose hight and width are given.","h  =  12
w  =  11
area  =  0 . 5 * h * w
print ( area ) "
"Write a function to find acceleration, given u, v and t","def acc ( u ,  v ,  t )  : 
    return  ( v - u )  / t"
Write a lambda function to multiply two numbers,"multiply  =  lambda a ,  b :  a * b"
Write a lambda function to add two numbers,"add  =  lambda a ,  b :  a + b"
Write a lambda function that gives True if the input number is even otherwise False,even  =  lambda a :  True if a % 2  =  =  0 else False
Write a lambda function to to give character grom it's ascii value,ascii  =  lambda a :  chr ( a ) 
Write a lambda function to that gives the number of digits in a number,dig _ cnt  =  lambda a :  len ( str ( a )  ) 
"Write a program to to check if a triangle is valid or not, given it's all three angles","def is _ valid _ triangle _ angle ( a ,  b c )  : 
    if a + b + c  =  =  180 : 
        return True
    return False"
"Write a program to to check if a triangle is valid or not, given it's all three sides' length","def is _ valid _ triangle _ length ( a ,  b c )  : 
    if a > 0 and b > 0 and c > 0 : 
        if a + b  >  c and a + c  >  b and b + c  >  a : 
            return True
    return False"
